client_id,client_name,client_email,client_age,client_gender,client_income,client_state,client_city,rfv_perfil
1,Client_1,client_1@example.com,25,Female,16168,RS,Porto Alegre,Perdido
2,Client_2,client_2@example.com,51,Male,15091,MG,Belo Horizonte,Leais
4,Client_4,client_4@example.com,18,Female,17774,BA,Salvador,Promissor
6,Client_6,client_6@example.com,40,Female,3638,RS,Porto Alegre,Campeões
8,Client_8,client_8@example.com,71,Male,3234,SP,São Paulo,Atenção
9,Client_9,client_9@example.com,35,Male,2183,MG,Belo Horizonte,Leais
10,Client_10,client_10@example.com,45,Female,16530,RJ,Rio de Janeiro,Perdido
12,Client_12,client_12@example.com,24,Female,8596,SP,São Paulo,Campeões
14,Client_14,client_14@example.com,43,Female,5039,RS,Porto Alegre,Perdido
15,Client_15,client_15@example.com,48,Male,11907,PR,Curitiba,Perdido
16,Client_16,client_16@example.com,71,Female,10011,SC,Florianópolis,Perdido
17,Client_17,client_17@example.com,37,Male,4310,RJ,Rio de Janeiro,Atenção
18,Client_18,client_18@example.com,48,Male,4265,PR,Curitiba,Atenção
19,Client_19,client_19@example.com,49,Female,7465,SC,Florianópolis,Quase Dormindo
21,Client_21,client_21@example.com,44,Female,7024,RJ,Rio de Janeiro,Perdido
22,Client_22,client_22@example.com,45,Female,13730,BA,Salvador,Atenção
23,Client_23,client_23@example.com,42,Male,15200,PR,Curitiba,Perdido
25,Client_25,client_25@example.com,56,Male,17862,MG,Belo Horizonte,Atenção
26,Client_26,client_26@example.com,60,Female,13344,MG,Belo Horizonte,Atenção
27,Client_27,client_27@example.com,61,Male,9059,RS,Porto Alegre,Campeões
28,Client_28,client_28@example.com,60,Male,2361,PR,Curitiba,Perdido
29,Client_29,client_29@example.com,59,Female,9593,SP,São Paulo,Promissor
30,Client_30,client_30@example.com,36,Male,12942,PR,Curitiba,Campeões
31,Client_31,client_31@example.com,36,Female,9934,SP,São Paulo,Atenção
33,Client_33,client_33@example.com,38,Male,7467,RS,Porto Alegre,Leais
35,Client_35,client_35@example.com,35,Male,8343,SC,Florianópolis,Perdido
36,Client_36,client_36@example.com,28,Male,18362,BA,Salvador,Novos
38,Client_38,client_38@example.com,29,Female,16534,SP,São Paulo,Quase Dormindo
39,Client_39,client_39@example.com,47,Male,7442,SC,Florianópolis,Campeões
40,Client_40,client_40@example.com,41,Male,19918,PR,Curitiba,Não Perder
41,Client_41,client_41@example.com,38,Male,17665,BA,Salvador,Atenção
44,Client_44,client_44@example.com,38,Male,14062,RS,Porto Alegre,Leais
45,Client_45,client_45@example.com,47,Female,12498,MG,Belo Horizonte,Campeões
47,Client_47,client_47@example.com,38,Female,11185,RS,Porto Alegre,Campeões
48,Client_48,client_48@example.com,43,Male,17717,PR,Curitiba,Perdido
49,Client_49,client_49@example.com,24,Female,17178,PR,Curitiba,Quase Dormindo
